,Dzień Znalezienia,Numer Pociągu,Relacja Pociągu,Stacja Znalezienia,Rodzaj Rzeczy
0,2025-01-15,9102,Łódź Fabryczna - Warszawa Wsch.,Łódź Fabryczna,Rzeczy Osobiste
1,2025-01-15,45100,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Portfel
2,2025-01-15,1528,Łódź Fabryczna - Gdynia Gł.,Gdynia Główna,Telefon
3,2025-01-15,1802,Warszawa Wsch. - Szczecin Gł.,Warszawa Wschodnia,Walizka / Plecak
4,2025-01-15,4520,Tychy - Gdynia Gł.,Gdynia Główna,Okulary
5,2025-01-15,4524,Racibórz - Olsztyn Gł.,Olsztyn Główny,Reklamówka / Torba
6,2025-01-15,25100,Chełm - Bydgoszcz Gł.,Łowicz Główny,Walizka / Plecak
7,2025-01-15,61104,Wrocław Gł. - Białystok,Białystok,Rzeczy Osobiste
8,2025-01-15,1624,Białystok - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
9,2025-01-15,1100,Białystok - Łódź Fabryczna,Łódź Fabryczna,Walizka / Plecak
10,2025-01-15,3528,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Słuchawki
11,2025-01-15,3528,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Etui
12,2025-01-15,6122,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Reklamówka / Torba
13,2025-01-15,37102,Przemyśl Gł. - Poznań Gł.,Wrocław Główny,Walizka / Plecak
14,2025-01-15,5404,Gdynia Gł. - Gliwice,Gliwice,Reklamówka / Torba
15,2025-01-15,8110,Szczecin Gł. - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
16,2025-01-15,8300,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
17,2025-01-15,16102,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Kosztowności
18,2025-01-15,4520,Tychy - Gdynia Gł.,Łódź Kaliska,Walizka / Plecak
19,2025-01-15,5220,Bydgoszcz Gł. - Lublin Gł.,Bydgoszcz Wsch.,Dokument/Y
20,2025-01-15,6134,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
21,2025-01-15,38108,Zakopane - Szczecin Gł.,Nowy Dwór Mazowiecki,Rzeczy Osobiste
22,2025-01-15,23102,Kraków Głowny-Lublin,Lublin,Reklamówka / Torba
23,2025-01-15,4502,Gliwice - Gdynia Gł.,Warszawa Wschodnia,Walizka / Plecak
24,2025-01-15,81114,Kołobrzeg - Łódź Fabryczna,Łódź Fabryczna,Dokument/Y
25,2025-01-15,83104,Piła Gł. - Rzeszów Główny,Rzeszów Główny,Walizka / Plecak
26,2025-01-15,81114,Kołobrzeg - Łódź Fabryczna,Łódź Fabryczna,Telefon
27,2025-01-15,45100,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
28,2025-01-15,4124,Katowice - Płock,Płock,Telefon
29,2025-01-15,58102,Olsztyn Gł. - Szczecin Gł.,Koszalin,Reklamówka / Torba
30,2025-01-15,5320,Olsztyn Gł. - Kraków Gł.,Działdowo,Portfel
31,2025-01-15,3508,Rzeszów Główny - Gdynia Gł.,Iława Główna,Sprzęt Elektroniczny
32,2025-01-15,5424,Olsztyn Gł. - Racibórz,Kuźnia Raciborska,Sprzęt Elektroniczny
33,2025-01-15,5328,Olsztyn Gł. - Kraków Gł.,Jędrzejów,Walizka / Plecak
34,2025-01-15,83110,Kołobrzeg - Kraków Gł.,Kościan,Sprzęt Elektroniczny
35,2025-01-15,5604,Gdynia Gł. - Wrocław Gł.,Wrocław Główny,Walizka / Plecak
36,2025-01-15,1102,Białystok - Łódź Fabryczna,Łódź Fabryczna,Etui
37,2025-01-15,111,Bohumin - Warszawa Wsch.,Warszawa Wschodnia,Rzeczy Osobiste
38,2025-01-15,83172,Świnoujście - Przemyśl Gł.,Przemyśl Główny,Ubranie
39,2025-01-15,6129,Wroław-Białystok,Białystok,Książka
40,2025-01-15,8106,Szczecin Gł. - Warszawa Wsch.,Warszawa Wschodnia,Reklamówka / Torba
41,2025-01-15,3808,Przemyśl Gł. - Szczecin Gł.,Kraków Główny,Telefon
