name,cat,lat,lon,money,Yi,proc
Instytut Języka Polskiego Polskiej Akademii Nauk,I – Humanities and Social Sciences,50.066332,19.9252261,9222.5,1.25,0.0
Instytut Filozofii i Socjologii Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.23762030661733,21.018069760773823,16442.6,0.875,0.0
Instytut Badań Literackich Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.23809070184539,21.01798244468329,16448.1,1.25,0.0
Instytut Studiów Politycznych Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.2159255,21.0183832,12176.7,1.33333333333333,0.0
Instytut Sztuki Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.2478691,21.0050197,18713.1,1.75,0.0
Instytut Archeologii i Etnologii Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.2424616,20.9962017,16304.2,1.16666666666667,0.0
Instytut Nauk Prawnych Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.23804879489371,21.01838869183707,9133.5,1.0,0.0
Instytut Slawistyki Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.237491334346636,21.032502927972562,9587.3,1.5,6.12
Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.23782449643243,21.018446209172108,6058.3,1.0,6.28
Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.2497561,21.0113077,17566.1,1.25,10.0
Instytut Nauk Ekonomicznych Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.2377936,21.0181978,3599.2,1.25,0.0
Instytut Psychologii Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.2374593,21.0325236,4614.6,1.75,10.0
Instytut Historii Nauki imienia Ludwika i Aleksandra Birkenmajerów Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.23763037390793,21.01798434947379,5667.6,1.25,0.0
Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk,I – Humanities and Social Sciences,52.23791584284622,21.018315626098932,5091.7,1.25,0.0
Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.2070703,20.9794412,41923.3,1.75,9.62
Instytut Agrofizyki im. Bohdana Dobrzańskiego Polskiej Akademii Nauk,II – Biological and Farmer Sciences,51.2202502,22.6246865,13993.2,1.75,0.5
Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol,II – Biological and Farmer Sciences,52.1894723,20.9504976,4429.6,1.0,8.0
Instytut Genetyki i Biotechnologii Zwierząt Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.0317591,20.8289056,13394.6,1.5,10.0
Instytut Biologii Doświadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.214130832681846,20.9836698440293,52712.1,1.75,10.0
Instytut Dendrologii Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.2438925,17.0908995,12777.4,1.75,9.94
Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie,II – Biological and Farmer Sciences,52.206145825345175,20.978625621359242,22692.2,1.75,10.0
Instytut Botaniki im. Władysława Szafera Polskiej Akademii Nauk,II – Biological and Farmer Sciences,50.0657359,19.9552014,10391.1,1.0,7.17
Instytut Ochrony Przyrody Polskiej Akademii Nauk,II – Biological and Farmer Sciences,50.0664857,19.9253047,9840.4,1.0,0.0
Europejskie Regionalne Centrum Ekohydrologii Polskiej Akademii Nauk,II – Biological and Farmer Sciences,51.751446,19.4650462,2166.6,1.25,10.0
Instytut Biologii Ssaków Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.7024634,23.8524807,5269.1,1.0,0.0
Instytut Paleobiologii im. Romana Kozłowskiego Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.2285186,20.9937153,5634.3,1.25,0.0
Instytut Systematyki i Ewolucji Zwierząt Polskiej Akademii Nauk,II – Biological and Farmer Sciences,50.0643585,19.9382126,8567.7,1.0,0.0
Instytut Chemii Bioorganicznej Polskiej Akademii Nauk,II – Biological and Farmer Sciences,52.4119113,16.9163448,37087.8,1.58333333333333,10.0
